Elevation,Slope,H.dist,V.dist,D.Road,Shade9,Shade12,Shade3,D.Fire,Type
2281,21,30,11,1101,161,241,217,306,3
2742,14,192,43,3692,216,251,167,1913,2
3309,17,577,85,3047,200,203,136,3465,1
2993,9,566,72,1944,201,226,165,900,1
2849,11,391,53,2640,240,230,118,1702,2
3264,16,85,10,1154,230,245,141,1116,1
3000,13,301,57,1740,185,226,180,2424,2
3131,9,175,22,2100,215,221,143,853,1
3314,21,162,26,2297,176,199,159,2218,2
3063,10,467,83,589,196,229,173,607,2
2049,7,0,0,957,223,244,156,454,4
3108,5,60,0,5327,229,234,139,792,2
2980,33,488,54,2007,121,189,198,1261,2
3073,18,443,157,3084,170,245,212,2177,2
3387,9,175,38,2994,224,221,131,1531,7
3233,14,30,7,1410,190,218,165,661,1
2909,28,255,119,3132,177,253,199,1513,2
3250,12,182,21,4513,196,221,163,696,1
3011,6,666,92,5301,215,227,149,5563,2
2981,7,300,56,1020,213,225,-9999,2156,1
3257,33,277,-44,3320,110,211,231,1988,1
3067,8,108,17,6625,223,245,156,3101,2
2995,14,679,82,5756,202,253,185,3608,2
3019,10,234,65,485,191,234,182,646,2
2907,9,255,34,2202,234,236,133,2512,2
2338,28,85,36,1071,143,243,230,190,3
2968,18,108,9,3854,215,197,112,4984,2
3214,7,30,0,2389,226,226,134,1140,1
3305,13,212,64,3023,191,223,171,2429,1
2108,16,162,79,295,236,207,98,492,3
2219,36,481,62,700,143,150,128,959,3
3239,17,646,101,2259,213,202,120,2382,1
2825,32,90,23,674,249,209,61,1360,5
2762,30,85,40,3458,246,216,74,5895,2
3021,13,792,102,5426,207,214,142,5531,2
3101,18,725,285,1616,195,254,191,509,2
2596,30,212,39,2032,252,183,-9999,691,6
3137,16,458,46,2180,228,246,145,932,2
2596,4,170,8,967,218,231,150,1891,2
2493,16,0,0,792,205,204,132,1634,6
3024,2,30,0,3437,215,236,159,175,1
2089,29,42,22,481,136,194,190,750,6
2975,13,488,89,1806,223,249,156,1974,2
2687,4,420,-14,600,221,230,145,1848,2
2980,16,658,94,1368,188,251,199,1855,2
3051,14,60,3,1761,225,248,152,395,1
2913,15,150,32,641,243,231,113,2554,2
3043,20,120,20,2687,248,207,80,1318,2
2916,13,42,12,4081,203,252,-9999,607,2
3254,10,361,75,4640,208,250,178,3022,1
3287,7,551,97,781,200,236,176,636,1
3094,14,295,40,430,189,249,197,841,2
2740,3,60,-7,1682,222,233,146,1101,2
2614,23,95,48,638,156,206,185,2108,2
2415,31,258,143,1253,253,184,33,703,3
3253,19,402,97,716,180,205,161,1698,1
3067,12,95,24,1116,223,214,123,2335,1
3236,9,0,0,3998,232,224,125,1889,7
3073,16,150,32,1041,233,205,98,1445,1
3028,9,350,23,4510,230,223,126,607,2
3038,15,212,35,2431,242,216,100,1947,2
3074,12,162,11,3302,192,225,172,469,1
2968,2,510,71,4207,222,236,150,5478,2
3007,25,170,82,2564,217,176,80,2148,1
3234,13,541,21,5423,236,240,131,1463,1
2632,6,0,0,2337,231,233,135,2512,6
2968,17,95,18,2685,176,222,185,641,1
3342,15,564,136,1436,232,244,138,1872,1
3062,10,42,2,2673,237,228,120,3704,1
3233,29,30,-2,3103,127,209,216,2266,1
3287,11,649,96,5965,237,222,114,2858,2
3068,21,60,-12,641,232,193,84,1532,1
2622,23,85,26,1406,148,223,213,959,6
2862,4,234,4,1104,226,237,145,2609,2
2775,23,210,108,3000,216,250,156,6300,2
2405,21,170,37,1099,161,214,190,787,6
3249,17,190,51,2888,170,228,198,1277,1
2533,30,42,11,1573,239,168,38,1579,2
3054,8,591,-58,4163,234,234,131,4749,2
3362,20,212,80,2052,250,215,85,2742,1
2629,10,162,33,1181,230,219,122,5359,2
2952,11,400,23,5236,191,229,178,2069,2
2875,12,30,-2,1226,228,215,119,655,2
3127,7,212,15,3905,231,238,140,1299,1
3130,20,408,75,446,250,215,85,1368,1
3310,26,134,27,1044,161,187,158,1448,1
1968,24,30,8,85,253,208,69,272,3
2884,9,0,0,1765,234,237,134,1963,2
2951,8,417,82,2190,224,223,133,2271,2
3011,3,499,116,2519,223,233,146,1834,2
2314,17,182,40,180,240,207,93,912,3
3187,6,558,78,771,204,235,170,1024,2
2320,10,446,137,1249,196,228,171,1155,3
3100,10,426,-31,4004,236,225,119,4715,2
2958,15,421,77,1864,234,209,102,3144,2
2904,24,690,277,655,152,206,190,531,2
3047,10,0,0,3121,205,221,153,446,1
3033,25,60,28,691,194,178,110,2458,1
3238,13,124,26,1262,221,210,122,2400,1
2215,21,362,41,474,158,225,206,324,3
3436,19,569,151,2173,241,203,85,1448,1
2946,7,309,20,1797,232,229,129,1315,2
2987,14,495,31,1452,181,241,200,1406,2
3191,5,60,-5,2469,226,230,139,1422,1
3021,17,300,103,2886,181,250,205,1879,2
3252,11,30,5,1867,195,225,169,2039,1
3332,11,180,31,3152,217,250,166,1679,1
2927,25,618,92,2162,233,180,65,1273,2
3256,2,685,125,1790,213,237,163,2330,1
2400,22,134,30,1040,159,212,190,836,6
2975,11,190,33,5538,208,251,178,2507,1
2954,14,67,8,4788,209,210,135,4097,1
3106,12,331,-6,3700,237,238,130,3001,2
3394,12,531,161,2078,241,227,114,1518,7
2676,15,175,25,470,236,210,102,1573,2
3125,15,350,60,295,180,223,183,1613,1
3086,15,67,9,6090,234,242,135,2340,1
2857,6,30,0,3132,230,234,137,4151,2
3250,25,190,-80,551,250,220,82,3691,2
